scoreName,instrumentName,pageName,pageNo,barName,barNo,timeSigNum,timeSigDenom,tempoBpm,tempoBeatValue,beatNo,startTimeMillis,durationTimeMillis,endTimeMillis,startBaseBeatUnits,durationBeatUnits,endBaseBeatUnits,xStartPxl,xEndPxl,yStartPxl,yEndPxl,isUpbeat,fileName,unitBeatNo
Ukodus,Clarinet,page1,1,bar4,4,5,4,100,4,16,9600,600,10200,33,2,35,563,595,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Clarinet_page1,33
Ukodus,Clarinet,page1,1,bar4,4,5,4,100,4,17,10200,600,10800,35,2,37,595,627,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Clarinet_page1,35
Ukodus,Clarinet,page1,1,bar4,4,5,4,100,4,18,10800,600,11400,37,2,39,627,659,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Clarinet_page1,37
Ukodus,Clarinet,page1,1,bar4,4,5,4,100,4,19,11400,600,12000,39,2,41,659,691,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Clarinet_page1,39
Ukodus,Clarinet,page1,1,bar4,4,5,4,100,4,20,12000,600,12600,41,2,43,691,723,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Clarinet_page1,41
Ukodus,Cello,page1,1,bar0,0,5,4,100,4,0,0,600,600,1,2,3,32,69,100,100,1,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Cello_page1,1
Ukodus,Cello,page1,1,bar1,1,5,4,100,4,1,600,600,1200,3,2,5,69,101,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Cello_page1,3
Ukodus,Cello,page1,1,bar1,1,5,4,100,4,2,1200,600,1800,5,2,7,101,133,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Cello_page1,5
Ukodus,Cello,page1,1,bar1,1,5,4,100,4,3,1800,600,2400,7,2,9,133,165,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Cello_page1,7
Ukodus,Cello,page1,1,bar1,1,5,4,100,4,4,2400,600,3000,9,2,11,165,197,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Cello_page1,9
